accepted_guidance_raise_cut_status,beat_miss_status,direction_bias_score,event_date,event_id,event_name,event_risk_governor_readiness,evidence_confidence_score,expectation_baseline_status,partial_guidance_context_span_count,provider_calls_performed_by_study,rejected_candidate_span_count,result_accession_number,result_primary_document,review_status,reviewed_guidance_interpretation_status,signed_direction_readiness,symbol
missing_not_established,missing_expectation_baseline,0.0,2025-10-14,cal_04c87c2e8355,JPM earnings release (J P Morgan Chase & Co),not_actionable_guidance_context,0.7,missing_consensus_or_accepted_expectation_baseline,0,0,1,0001628280-25-044845,jpm-20251014.htm,reviewed_rejected_candidates,reviewed_no_accepted_guidance_context,blocked_missing_expectation_baseline,JPM
missing_not_established,missing_expectation_baseline,0.0,2025-10-22,cal_624828d686c6,"TSLA earnings release (Tesla, Inc.)",direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0001628280-25-045968,tsla-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,TSLA
missing_not_established,missing_expectation_baseline,0.0,2025-10-29,cal_f6db2fe06339,MSFT earnings release (Microsoft Corporation),not_actionable_guidance_context,0.7,missing_consensus_or_accepted_expectation_baseline,0,0,8,0001193125-25-256321,msft-20250930.htm,reviewed_rejected_candidates,reviewed_no_accepted_guidance_context,blocked_missing_expectation_baseline,MSFT
missing_not_established,missing_expectation_baseline,0.0,2025-10-30,cal_15791d9ff7af,AAPL earnings release (Apple Inc.),not_actionable_guidance_context,0.7,missing_consensus_or_accepted_expectation_baseline,0,0,8,0000320193-25-000079,aapl-20250927.htm,reviewed_rejected_candidates,reviewed_no_accepted_guidance_context,blocked_missing_expectation_baseline,AAPL
missing_not_established,missing_expectation_baseline,0.0,2025-10-30,cal_4af090722fde,"COIN earnings release (Coinbase Global, Inc.)",direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0001679788-25-000208,coin-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,COIN
missing_not_established,missing_expectation_baseline,0.0,2025-10-30,cal_2389e42d2118,LLY earnings release (Eli Lilly and Company),direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0000059478-25-000254,lly-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,LLY
missing_not_established,missing_expectation_baseline,0.25,2025-10-31,cal_8e082a589731,CVX earnings release (Chevron Corporation),direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0000093410-25-000108,cvx-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,CVX
missing_not_established,missing_expectation_baseline,0.0,2025-10-31,cal_4bfaea404058,XOM earnings release (Exxon Mobil Corporation),direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0000034088-25-000061,xom-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,XOM
missing_not_established,missing_expectation_baseline,0.125,2025-11-04,cal_ed32ae7b473a,"AMD earnings release (Advanced Micro Devices, Inc.)",direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,2,0,6,0000002488-25-000166,amd-20250927.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,AMD
missing_not_established,missing_expectation_baseline,0.0,2025-11-04,cal_ace2cf7d166d,"PFE earnings release (Pfizer, Inc.)",direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,3,0,5,0000078003-25-000150,pfe-20250928.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,PFE
missing_not_established,missing_expectation_baseline,0.0,2025-11-10,cal_f7ad7203a325,RKLB earnings release (Rocket Lab Corporation),direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,1,0,7,0001819994-25-000021,rklb-20250930.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,RKLB
missing_not_established,missing_expectation_baseline,0.0,2025-11-19,cal_db9932651a59,NVDA earnings release (NVIDIA Corporation),direction_neutral_context_only,0.65,missing_consensus_or_accepted_expectation_baseline,2,0,6,0001045810-25-000230,nvda-20251026.htm,reviewed_partial_context,partial_official_guidance_context_reviewed,blocked_missing_expectation_baseline,NVDA
