family_key,routing_bucket,mechanism_group,priority,coverage_status,association_readiness_status,local_candidate_count,local_source_row_count,local_source_routes,existing_empirical_artifacts,existing_empirical_artifact_count,remaining_blocker_codes,next_action,final_conclusion_status
earnings_guidance_scheduled_shell,earnings_guidance,earnings_guidance,high,existing_empirical_study_underpowered_risk_shell,partial_ready_expand_shell_sample_controls,12,24764,earnings_guidance_artifacts;sec_company_financials;calendar_discovery,storage/earnings_guidance_event_alone_q4_2025_20260515/report.json,1,coverage_underpowered;needs_more_seasons_symbols;empirical_association_study_required,Expand shell study across more seasons/symbols and rerun matched controls with market/sector/target-state adjustments.,withheld_not_final_association_judgment
earnings_guidance_result_metrics,earnings_guidance,earnings_guidance,high,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,12,24764,earnings_guidance_artifacts;sec_company_financials;calendar_discovery,storage/earnings_guidance_result_artifact_scout_q4_2025_20260515/report.json;storage/earnings_guidance_expectation_baseline_readiness_q4_2025_20260515/report.json,2,missing_pit_expectation_baseline;partial_metric_interpretation_only;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Persist PIT expectation/comparable baseline artifacts before empirical association.,withheld_not_final_association_judgment
earnings_guidance_raise_cut_or_withdrawal,earnings_guidance,earnings_guidance,high,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,12,24764,earnings_guidance_artifacts;sec_company_financials;calendar_discovery,storage/earnings_guidance_current_prior_comparison_readiness_q4_2025_20260516/report.json;storage/earnings_guidance_prior_guidance_exhibit_extraction_q4_2025_20260515/report.json,2,missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Persist PIT expectation/comparable baseline artifacts before empirical association.,withheld_not_final_association_judgment
earnings_call_narrative_residual,symbol_news,earnings_guidance,normal,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,52,1155,alpaca_news;gdelt_news,,0,missing_transcript_or_company_ir_route;empirical_association_study_required,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels.",withheld_not_final_association_judgment
equity_offering_dilution,sec_filing,capital_structure,high,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_offering_terms_parser;needs_matched_controls;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
buyback_or_capital_return,sec_filing,capital_allocation,normal,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_canonical_source_rules;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
mna_transaction,sec_filing,corporate_action,high,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_deal_terms_and_resolution_clocks;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
insider_or_ownership_change,sec_filing,ownership_governance,normal,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_form_specific_parser;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
legal_regulatory_investigation,sec_filing,legal_regulatory,high,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_severity_taxonomy;needs_review_required_rules;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
accounting_restatement_or_fraud,sec_filing,legal_regulatory,high,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,24764,sec_company_financials,,0,needs_official_vs_allegation_split;empirical_association_study_required,Add or backfill the accepted source/parser route for this family before association measurement.,withheld_not_final_association_judgment
