accepted_guidance_interpretation_status,boilerplate_candidate_span_count,candidate_guidance_span_count,event_date,event_id,event_name,expectation_baseline_status,guidance_candidate_status,non_boilerplate_candidate_guidance_span_count,official_document_text_status,provider_calls_performed_by_study,result_accession_number,result_primary_document,review_status,signed_direction_readiness,symbol
missing_reviewed_guidance_interpretation,1,1,2025-10-14,cal_04c87c2e8355,JPM earnings release (J P Morgan Chase & Co),missing_consensus_or_accepted_expectation_baseline,boilerplate_or_safe_harbor_only_review_required,0,present,0,0001628280-25-044845,jpm-20251014.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,JPM
missing_reviewed_guidance_interpretation,5,8,2025-10-22,cal_624828d686c6,"TSLA earnings release (Tesla, Inc.)",missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,3,present,0,0001628280-25-045968,tsla-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,TSLA
missing_reviewed_guidance_interpretation,0,8,2025-10-29,cal_f6db2fe06339,MSFT earnings release (Microsoft Corporation),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,8,present,0,0001193125-25-256321,msft-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,MSFT
missing_reviewed_guidance_interpretation,2,8,2025-10-30,cal_15791d9ff7af,AAPL earnings release (Apple Inc.),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,6,present,0,0000320193-25-000079,aapl-20250927.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,AAPL
missing_reviewed_guidance_interpretation,3,8,2025-10-30,cal_4af090722fde,"COIN earnings release (Coinbase Global, Inc.)",missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,5,present,0,0001679788-25-000208,coin-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,COIN
missing_reviewed_guidance_interpretation,3,8,2025-10-30,cal_2389e42d2118,LLY earnings release (Eli Lilly and Company),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,5,present,0,0000059478-25-000254,lly-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,LLY
missing_reviewed_guidance_interpretation,3,8,2025-10-31,cal_8e082a589731,CVX earnings release (Chevron Corporation),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,5,present,0,0000093410-25-000108,cvx-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,CVX
missing_reviewed_guidance_interpretation,0,8,2025-10-31,cal_4bfaea404058,XOM earnings release (Exxon Mobil Corporation),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,8,present,0,0000034088-25-000061,xom-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,XOM
missing_reviewed_guidance_interpretation,0,8,2025-11-04,cal_ed32ae7b473a,"AMD earnings release (Advanced Micro Devices, Inc.)",missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,8,present,0,0000002488-25-000166,amd-20250927.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,AMD
missing_reviewed_guidance_interpretation,0,8,2025-11-04,cal_ace2cf7d166d,"PFE earnings release (Pfizer, Inc.)",missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,8,present,0,0000078003-25-000150,pfe-20250928.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,PFE
missing_reviewed_guidance_interpretation,4,8,2025-11-10,cal_f7ad7203a325,RKLB earnings release (Rocket Lab Corporation),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,4,present,0,0001819994-25-000021,rklb-20250930.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,RKLB
missing_reviewed_guidance_interpretation,1,8,2025-11-19,cal_db9932651a59,NVDA earnings release (NVIDIA Corporation),missing_consensus_or_accepted_expectation_baseline,candidate_guidance_text_present_review_required,7,present,0,0001045810-25-000230,nvda-20251026.htm,review_required,blocked_missing_reviewed_guidance_interpretation_or_expectation_baseline,NVDA
