family_key,queue_status,threshold_grade_seed,active_threshold_universe,delete_from_threshold_queue,association_class,screening_stability_status,event_count,max_label_count,risk_material_metric_count,positive_direction_horizon_count,negative_direction_horizon_count,deletion_scope,threshold_next_action,evidence_note
earnings_guidance_scheduled_shell,accepted_risk_control,A_risk_control,true,false,scheduled_path_risk_association_not_directional_alpha,accepted_risk_control_prior_study,12,12,1,0,1,none,Set risk/path thresholds from accepted prior study; do not create standalone directional-alpha grade.,Accepted risk/control association from reviewed prior study.
earnings_guidance_result_metrics,blocked_required_data_or_precondition,Blocked,false,false,not_measured_required_precondition_missing,not_threshold_ready_precondition_or_data_gap,0,0,0,0,0,none,Do not threshold until required data/precondition route is completed.,"Missing local labels, PIT baseline, residual detector, or liquidity-depth evidence."
earnings_guidance_raise_cut_or_withdrawal,blocked_required_data_or_precondition,Blocked,false,false,not_measured_required_precondition_missing,not_threshold_ready_precondition_or_data_gap,0,0,0,0,0,none,Do not threshold until required data/precondition route is completed.,"Missing local labels, PIT baseline, residual detector, or liquidity-depth evidence."
earnings_call_narrative_residual,threshold_review_candidate,C_screening_candidate,true,false,local_screening_risk_association_unaccepted,expanded_screening_threshold_review_candidate,15,319,1,2,1,none,"Enter threshold/grading calibration with family-specific canonical parser, dedup, and matched controls required before acceptance.","Expanded local screening is strong enough to keep in the next threshold-review queue, but not accepted for model use."
equity_offering_dilution,threshold_review_candidate,B_screening_candidate,true,false,local_directional_candidate_unaccepted,expanded_screening_threshold_review_candidate,5,78,5,1,2,none,"Enter threshold/grading calibration with family-specific canonical parser, dedup, and matched controls required before acceptance.","Expanded local screening is strong enough to keep in the next threshold-review queue, but not accepted for model use."
buyback_or_capital_return,threshold_review_candidate,B_screening_candidate,true,false,local_screening_risk_association_unaccepted,expanded_screening_threshold_review_candidate,5,141,3,0,3,none,"Enter threshold/grading calibration with family-specific canonical parser, dedup, and matched controls required before acceptance.","Expanded local screening is strong enough to keep in the next threshold-review queue, but not accepted for model use."
mna_transaction,retired_no_clear_local_association,Reject_no_clear_association,false,true,no_clear_local_association,measured_no_clear_local_stability,6,105,0,1,2,threshold_queue_only,Remove from active threshold/grading queue; preserve audit row and revisit only if a materially better source/parser changes the evidence basis.,Measured local expanded screening did not show clear risk/path/directional association.
insider_or_ownership_change,hold_thin_unstable_screening,Hold_thin_unstable,false,false,local_directional_candidate_unaccepted,thin_unstable_screening,3,51,0,2,0,none,Do not threshold yet; require more source coverage and stability before re-entry.,Local signal is too thin or unstable for threshold grading.
legal_regulatory_investigation,hold_thin_unstable_screening,Hold_thin_unstable,false,false,local_screening_risk_association_unaccepted,thin_unstable_screening,4,52,3,2,1,none,Do not threshold yet; require more source coverage and stability before re-entry.,Local signal is too thin or unstable for threshold grading.
accounting_restatement_or_fraud,blocked_required_data_or_precondition,Blocked,false,false,not_measured_data_gap,not_threshold_ready_precondition_or_data_gap,0,0,0,0,0,none,Do not threshold until required data/precondition route is completed.,"Missing local labels, PIT baseline, residual detector, or liquidity-depth evidence."
