family_key,routing_bucket,mechanism_group,priority,prior_family_status,prior_association_status,closeout_status,accepted_current_use,blocked_use,alpha_promotion_status,risk_feature_status,next_action_class,blocker_codes,evidence_refs,next_action
earnings_guidance_scheduled_shell,earnings_guidance,earnings_guidance,high,scouting,direction_neutral_path_signal_observed_underpowered,risk_only_scouting_underpowered,event_risk_context_and_scheduled_catalyst_risk,signed_alpha_or_stronger_intervention,alpha_blocked_result_not_known_pre_event,risk_candidate_scheduled_catalyst,expand_controlled_shell_study,coverage_underpowered;needs_more_seasons_symbols,docs/101_earnings_guidance_event_family_packet.md;storage/earnings_guidance_event_alone_q4_2025_20260515/report.json,"Scheduled shell may matter for direction-neutral event risk, not signed alpha. Next: Expand scheduled earnings shell study across more seasons/symbols with market/sector/target-state controls."
earnings_guidance_result_metrics,earnings_guidance,earnings_guidance,high,scouting,partial_result_context_only,blocked_missing_pit_expectation_or_comparable_baseline,event_interpretation_context_after_release,beat_miss_alpha_or_guidance_surprise_claim,alpha_blocked_missing_pit_baseline,risk_blocked_missing_interpretation_baseline,build_expectation_baseline,missing_pit_expectation_baseline;partial_metric_interpretation_only,storage/earnings_guidance_result_artifact_scout_q4_2025_20260515/report.json;storage/earnings_guidance_readiness_scout_q4_2025_20260515/report.json,"Cannot interpret surprise, raise/cut, or signed effect without point-in-time expected/comparable baseline. Next: Add PIT expectation baselines before any result-surprise association claim."
earnings_guidance_raise_cut_or_withdrawal,earnings_guidance,earnings_guidance,high,proposed,blocked_missing_current_comparable_guidance_context,blocked_missing_pit_expectation_or_comparable_baseline,review_queue_context_only,signed_guidance_alpha_or_escalated_event_risk_intervention,alpha_blocked_missing_pit_baseline,risk_blocked_missing_interpretation_baseline,build_expectation_baseline,missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline,storage/earnings_guidance_interpretation_review_q4_2025_20260515/report.json;storage/earnings_guidance_current_prior_comparison_readiness_q4_2025_20260516/report.json;storage/earnings_guidance_prior_guidance_exhibit_extraction_q4_2025_20260515/report.json,"Cannot interpret surprise, raise/cut, or signed effect without point-in-time expected/comparable baseline. Next: Acquire/interpret current official release/exhibit/transcript guidance and compare to PIT prior/consensus baselines."
earnings_call_narrative_residual,symbol_news,earnings_guidance,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,narrative_residual_review_only,news_sentiment_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;missing_transcript_or_company_ir_route,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Draft a separate narrative-residual packet after official result/guidance interpretation is available.
equity_offering_dilution,sec_filing,capital_structure,high,proposed,packet_needed_source_evidence_available,packet_required_high_priority,candidate_family_for_next_packet,directional_alpha_or_forced_reduce,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_offering_terms_parser;needs_matched_controls,/root/projects/trading-data/storage/monthly_backfill_v1/sec_company_financials/2016-01/completion_receipt.json,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create packet and extractor for offering amount, discount, proceeds use, balance-sheet stress, and filing timing."
buyback_or_capital_return,sec_filing,capital_allocation,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,capital_allocation_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_canonical_source_rules,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Define buyback/capital-return packet and distinguish authorizations from actual repurchases.
mna_transaction,sec_filing,corporate_action,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_only,merger_arbitrage_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_deal_terms_and_resolution_clocks,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create M&A packet with offer type, premium, consideration, regulatory risk, and resolution clock."
insider_or_ownership_change,sec_filing,ownership_governance,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,ownership_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_form_specific_parser,,"Candidate remains a routing/mechanism idea until packet and controls exist. Next: Split insider transaction, activist stake, passive ownership, and routine ownership forms before study."
legal_regulatory_investigation,sec_filing,legal_regulatory,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_risk_governor,automatic_flatten_or_halt,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_severity_taxonomy;needs_review_required_rules,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create risk-first packet with source precedence, severity ladder, and human-review triggers."
accounting_restatement_or_fraud,sec_filing,legal_regulatory,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_risk_governor,ordinary_directional_alpha_without_review,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_official_vs_allegation_split,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Split official restatement/control weakness from news-only allegation before association study."
bankruptcy_or_restructuring,sec_filing,distress,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_risk_governor,unreviewed_execution_mutation,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_distress_stage_lifecycle,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create multi-stage distress packet with filing stage, financing, creditor, and resolution clocks."
product_launch_or_failure,symbol_news,product_customer,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,news_sentiment_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_news_interpretation_standard,/root/projects/trading-data/storage/monthly_backfill_v1/alpaca_news/2016-01/completion_receipt.json,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Create product/customer news packet and source-quality rules before using headlines.
customer_contract_win_loss,symbol_news,product_customer,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,headline_keyword_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_materiality_rules,,"Candidate remains a routing/mechanism idea until packet and controls exist. Next: Define customer/contract packet with size, duration, counterparty, and recurring/nonrecurring evidence."
management_change,symbol_news,governance_management,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,management_news_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_departure_reason_taxonomy,,"Candidate remains a routing/mechanism idea until packet and controls exist. Next: Split planned succession, resignation, termination, death/health, and activist-driven changes."
analyst_rating_or_price_target_change,symbol_news,market_opinion,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,analyst_headline_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_source_identity_and_reiteration_rules,,"Candidate remains a routing/mechanism idea until packet and controls exist. Next: Create analyst-action packet and separate initiation, upgrade/downgrade, target-only, reiteration, and consensus context."
supply_chain_disruption,symbol_news,operations_supply_chain,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,generic_negative_news_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_scope_routing_rules,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Create packet with direct-vs-readthrough scope and duration/materiality rules.
sector_regulation_policy,sector_news,sector_policy,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_sector_risk,broad_news_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_sector_scope_mapping,/root/projects/trading-data/storage/monthly_backfill_v1/gdelt_news/2016-01/completion_receipt.json,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create sector-regulation packet with affected industry mapping and official-vs-news source precedence."
commodity_or_input_cost_shock,sector_news,sector_supply_demand,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,unconditioned_sector_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_exposure_mapping,,"Candidate remains a routing/mechanism idea until packet and controls exist. Next: Define commodity exposure map and split producer, consumer, and intermediary effects."
sector_demand_shock,sector_news,sector_supply_demand,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,unconditioned_sector_news_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_readthrough_rules,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Create packet and separate direct company event from true sector read-through.
cpi_inflation_release,macro_data,macro_release,high,proposed,packet_needed_source_evidence_available,risk_only_candidate_temporary_evidence,temporary_macro_risk_surprise_evidence_pending_canonical_te_history,macro_alpha_without_surprise_baseline,alpha_blocked_directional_signal_weak,risk_candidate_macro_surprise_control,use_as_control_feature_after_canonical_te_route,missing_family_packet;needs_pit_consensus_surprise;directional_alpha_not_proven;canonical_te_expectation_history_needed,/root/projects/trading-data/storage/monthly_backfill_v1/trading_economics_calendar_web/2016-01/completion_receipt.json;storage/cpi_release_correlation_study_20260516/strict_summary.json;storage/cpi_abnormal_release_correlation_study_20260516/abnormal_cpi_release_summary.json;storage/cpi_surprise_correlation_study_20260516/cpi_surprise_summary.json;storage/te_cpi_surprise_correlation_study_20260516/te_cpi_surprise_summary.json,"Actual-vs-forecast surprise has event-risk/path relevance, but not standalone directional alpha. Next: Keep CPI surprise as macro event-risk/control feature; build fuller TE expectation-history route before production canonicalization."
fomc_rates_policy,macro_news,macro_policy,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_layer_1_2_risk,rates_news_alpha_without_policy_standard,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_official_calendar_and_statement_route,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create FOMC/rates packet with scheduled shell, decision, statement, press-conference, and market-implied repricing split."
nfp_employment_release,macro_data,macro_release,normal,proposed,blocked_missing_family_packet,blocked_missing_pit_expectation_or_comparable_baseline,candidate_family_for_layer_1_2_risk,macro_alpha_without_surprise_baseline,alpha_blocked_missing_pit_baseline,risk_blocked_missing_interpretation_baseline,build_expectation_baseline,missing_family_packet;needs_pit_consensus_surprise,,"Cannot interpret surprise, raise/cut, or signed effect without point-in-time expected/comparable baseline. Next: Create NFP packet with payroll, unemployment, wage, revision, and consensus fields."
treasury_yield_curve_shock,macro_news,macro_rates_liquidity,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_only,rates_move_as_event_without_residual_test,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_rates_state_residual_definition,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Define residual rates shock after Layer 1 rates/market-state controls.
credit_liquidity_stress,macro_news,macro_rates_liquidity,high,proposed,blocked_missing_family_packet,packet_required_high_priority,candidate_family_for_risk_governor,automatic_halt_without_review,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_stress_severity_ladder,,"High-priority mechanism, but no accepted packet/interpreter/control set yet. Next: Create stress packet with bank/credit/liquidity subtypes, severity, contagion scope, and review triggers."
geopolitical_or_fiscal_shock,macro_news,macro_policy,normal,proposed,blocked_missing_family_packet,packet_required_normal_priority,candidate_family_for_risk_governor,broad_geopolitical_alpha,alpha_blocked_missing_family_packet,risk_blocked_missing_family_packet,build_family_packet,missing_family_packet;needs_unknown_event_standard_review,,Candidate remains a routing/mechanism idea until packet and controls exist. Next: Use unknown-event protocol to define reusable subfamilies before association study.
price_action_pattern,price_action,abnormal_activity,normal,proposed,blocked_missing_residual_definition,blocked_missing_residual_definition,diagnostic_only_until_residual_proven,duplicated_bar_feature_alpha,alpha_blocked_residual_not_defined,risk_blocked_residual_not_defined,define_residual_over_base_state,needs_residual_over_base_state;missing_family_packet,,"Price/action residual families must prove information beyond base state, not relearn normal price behavior. Next: Define residual pattern standard and prove incremental value over base target-state features."
residual_market_structure_disturbance,equity_abnormal_activity,abnormal_activity,normal,proposed,blocked_missing_residual_definition,blocked_missing_residual_definition,diagnostic_only_until_residual_proven,raw_abnormal_activity_alpha,alpha_blocked_residual_not_defined,risk_blocked_residual_not_defined,define_residual_over_base_state,needs_residual_over_base_state;matched_controls_required,,"Price/action residual families must prove information beyond base state, not relearn normal price behavior. Next: Build residual detector against Layer 1-3 states before any association study."
