family_key,final_disposition,current_use,promotion_status,evidence_basis,blockers,next_required_evidence
earnings_guidance_scheduled_shell,direction_neutral_event_risk_context_only,scheduled_event_window_risk_and_path_volatility_context,accepted_for_risk_or_control_only,earnings_shell_path_range_elevated_direction_not_supported;storage/earnings_guidance_event_alone_q4_2025_20260515/report.json,underpowered_sample;missing_current_comparable_guidance;missing_pit_expectation_baseline,Expand across seasons/symbols and join accepted current guidance/result interpretation plus PIT baselines.
earnings_guidance_result_metrics,blocked_missing_pit_baseline,not_usable_for_model_output_now,blocked_no_promotion,storage/earnings_guidance_result_artifact_scout_q4_2025_20260515/report.json;storage/earnings_guidance_expectation_baseline_readiness_q4_2025_20260515/report.json,missing_pit_expectation_baseline;partial_metric_interpretation_only;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Build PIT expectation/comparable baseline artifacts before signed or abnormal association claims.
earnings_guidance_raise_cut_or_withdrawal,blocked_missing_pit_baseline,not_usable_for_model_output_now,blocked_no_promotion,storage/earnings_guidance_current_prior_comparison_readiness_q4_2025_20260516/report.json;storage/earnings_guidance_prior_guidance_exhibit_extraction_q4_2025_20260515/report.json,missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Build PIT expectation/comparable baseline artifacts before signed or abnormal association claims.
earnings_call_narrative_residual,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=52;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
equity_offering_dilution,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
buyback_or_capital_return,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
mna_transaction,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
insider_or_ownership_change,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
legal_regulatory_investigation,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
accounting_restatement_or_fraud,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
bankruptcy_or_restructuring,source_or_parser_gap,not_usable_for_model_output_now,blocked_no_promotion,no_local_candidate_events_under_current_sources,source_or_parser_gap,Add accepted source/parser coverage and rerun empirical coverage before association.
product_launch_or_failure,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=35;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
customer_contract_win_loss,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=48;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
management_change,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=83;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
analyst_rating_or_price_target_change,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=37;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
supply_chain_disruption,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=34;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
sector_regulation_policy,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=304;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
commodity_or_input_cost_shock,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=20;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
sector_demand_shock,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=32;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
cpi_inflation_release,risk_control_feature_accepted_not_alpha,macro_event_risk_and_surprise_control,accepted_for_risk_or_control_only,actual_vs_expectation_surprise_has_path_risk_relevance;TE_fields_confirmed_but_visible_history_sparse;storage/cpi_release_correlation_study_20260516/strict_summary.json;storage/cpi_abnormal_release_correlation_study_20260516/abnormal_cpi_release_summary.json;storage/cpi_surprise_correlation_study_20260516/cpi_surprise_summary.json;storage/te_cpi_surprise_correlation_study_20260516/te_cpi_surprise_summary.json,fuller_te_expectation_history_required_before_canonical_replacement,Complete fuller TE expectation-history path before using TE as the only canonical CPI surprise source.
fomc_rates_policy,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=43;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
nfp_employment_release,blocked_missing_pit_baseline,not_usable_for_model_output_now,blocked_no_promotion,local_candidate_count=2,needs_pit_consensus_surprise;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Build PIT expectation/comparable baseline artifacts before signed or abnormal association claims.
treasury_yield_curve_shock,blocked_missing_residual_detector,not_usable_for_model_output_now,blocked_no_promotion,local_candidate_count=10,needs_rates_state_residual_definition;empirical_association_study_required;residual_over_base_state_required,Define residual-over-base-state detector and then rerun family labels/controls.
credit_liquidity_stress,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=12;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
geopolitical_or_fiscal_shock,candidate_events_found_needs_family_study,research_queue_only,blocked_no_promotion,local_candidate_count=87;candidate_ready_for_interpretation_then_association,needs_canonical_interpretation;needs_dedup;needs_matched_controls;needs_price_path_labels,"Interpret candidate events, deduplicate canonical events, and run matched-control association study."
price_action_pattern,blocked_missing_residual_detector,not_usable_for_model_output_now,blocked_no_promotion,local_candidate_count=0,needs_residual_over_base_state;empirical_association_study_required;residual_over_base_state_required,Define residual-over-base-state detector and then rerun family labels/controls.
residual_market_structure_disturbance,blocked_missing_residual_detector,not_usable_for_model_output_now,blocked_no_promotion,local_candidate_count=0,needs_residual_over_base_state;matched_controls_required;empirical_association_study_required;residual_over_base_state_required,Define residual-over-base-state detector and then rerun family labels/controls.
