family_key,priority,packet_status,remaining_blocker_codes,baseline_requirements,residual_definition,liquidity_evidence_requirement,next_empirical_action,final_judgment_status
earnings_guidance_scheduled_shell,high,packet_spec_completed_current_risk_only_evidence,coverage_underpowered;needs_more_seasons_symbols;empirical_association_study_required,"Scheduled-shell study may use known earnings-calendar timing, but signed result/guidance claims require separate result and expectation baselines.;Controls must exclude nearby earnings windows for the same symbol and comparable sector/market state.",No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Expand shell study across more seasons/symbols and rerun matched controls with market/sector/target-state adjustments.,final_judgment_withheld_until_empirical_association_complete
earnings_guidance_result_metrics,high,packet_spec_completed_pending_empirical_evidence,missing_pit_expectation_baseline;partial_metric_interpretation_only;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Persisted pre-event EPS and revenue consensus baselines are required before beat/miss labels.;Actual result fields captured after release may not be reused as expectation baselines.;Comparable fiscal period identity and source timestamp are mandatory.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Build or acquire PIT expectation/comparable baseline, then run family-specific association study.",final_judgment_withheld_until_empirical_association_complete
earnings_guidance_raise_cut_or_withdrawal,high,packet_spec_completed_pending_empirical_evidence,missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,Prior company guidance baseline and current comparable company guidance are both required.;Guidance-consensus or revenue-consensus baseline is required before surprise/raise/cut claims.;Narrative-only spans are context until mapped to comparable numeric or categorical guidance dimensions.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Build or acquire PIT expectation/comparable baseline, then run family-specific association study.",final_judgment_withheld_until_empirical_association_complete
earnings_call_narrative_residual,normal,packet_spec_completed_pending_empirical_evidence,missing_transcript_or_company_ir_route;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Draft a separate narrative-residual packet after official result/guidance interpretation is available.,final_judgment_withheld_until_empirical_association_complete
equity_offering_dilution,high,packet_spec_completed_pending_empirical_evidence,needs_offering_terms_parser;needs_matched_controls;empirical_association_study_required,Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create packet and extractor for offering amount, discount, proceeds use, balance-sheet stress, and filing timing.",final_judgment_withheld_until_empirical_association_complete
buyback_or_capital_return,normal,packet_spec_completed_pending_empirical_evidence,needs_canonical_source_rules;empirical_association_study_required,Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Define buyback/capital-return packet and distinguish authorizations from actual repurchases.,final_judgment_withheld_until_empirical_association_complete
mna_transaction,high,packet_spec_completed_pending_empirical_evidence,needs_deal_terms_and_resolution_clocks;empirical_association_study_required,Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create M&A packet with offer type, premium, consideration, regulatory risk, and resolution clock.",final_judgment_withheld_until_empirical_association_complete
insider_or_ownership_change,normal,packet_spec_completed_pending_empirical_evidence,needs_form_specific_parser;empirical_association_study_required,Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Split insider transaction, activist stake, passive ownership, and routine ownership forms before study.",final_judgment_withheld_until_empirical_association_complete
legal_regulatory_investigation,high,packet_spec_completed_pending_empirical_evidence,needs_severity_taxonomy;needs_review_required_rules;empirical_association_study_required,Severity ladder and official-vs-allegation status must be assigned before outcome grouping.;Controls must exclude overlapping crisis/legal events and preserve human-review-required flags.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create risk-first packet with source precedence, severity ladder, and human-review triggers.",final_judgment_withheld_until_empirical_association_complete
accounting_restatement_or_fraud,high,packet_spec_completed_pending_empirical_evidence,needs_official_vs_allegation_split;empirical_association_study_required,Severity ladder and official-vs-allegation status must be assigned before outcome grouping.;Controls must exclude overlapping crisis/legal events and preserve human-review-required flags.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Split official restatement/control weakness from news-only allegation before association study.,final_judgment_withheld_until_empirical_association_complete
bankruptcy_or_restructuring,high,packet_spec_completed_pending_empirical_evidence,needs_distress_stage_lifecycle;empirical_association_study_required,Severity ladder and official-vs-allegation status must be assigned before outcome grouping.;Controls must exclude overlapping crisis/legal events and preserve human-review-required flags.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Create multi-stage distress packet with filing stage, financing, creditor, and resolution clocks.",final_judgment_withheld_until_empirical_association_complete
product_launch_or_failure,normal,packet_spec_completed_pending_empirical_evidence,needs_news_interpretation_standard;empirical_association_study_required,News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,Create product/customer news packet and source-quality rules before using headlines.,final_judgment_withheld_until_empirical_association_complete
