contract_type,family_key,routing_bucket,mechanism_group,priority,packet_status,mechanism_question,accepted_current_use,blocked_use,canonical_source_precedence,point_in_time_clock_rules,event_identity_fields,event_measure_fields,inclusion_rules,exclusion_rules,baseline_requirements,matched_control_design,label_windows,required_price_path_labels,residual_definition,liquidity_evidence_requirement,early_stop_rules,remaining_blocker_codes,next_empirical_action,final_judgment_status,safety_statement
event_family_scouting_packet_v1,earnings_guidance_scheduled_shell,earnings_guidance,earnings_guidance,high,packet_spec_completed_current_risk_only_evidence,"Do scheduled earnings shells predict direction-neutral path expansion, volatility, liquidity stress, or directional drift after controlling for market/sector/target state?",event_risk_context_and_scheduled_catalyst_risk,signed_alpha_or_stronger_intervention,"Official company earnings release, SEC furnished exhibit, or company IR document with captured release time.;Persisted pre-event expectation baseline artifact with captured_at/as_of_time and no post-event actual/surprise fields.;Official transcript or call materials only after source timestamp is known and comparable current/prior guidance fields are review-accepted.;Derivative news may be coverage context only, not canonical event identity or surprise baseline.","Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.;Expectation/comparable baseline must have captured_at/as_of_time earlier than the release/event clock.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.","Scheduled-shell study may use known earnings-calendar timing, but signed result/guidance claims require separate result and expectation baselines.;Controls must exclude nearby earnings windows for the same symbol and comparable sector/market state.","Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.;Use same-symbol non-earnings dates plus sector/market controls; signed tests must wait for accepted result/guidance labels.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",coverage_underpowered;needs_more_seasons_symbols;empirical_association_study_required,Expand shell study across more seasons/symbols and rerun matched controls with market/sector/target-state adjustments.,final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,earnings_guidance_result_metrics,earnings_guidance,earnings_guidance,high,packet_spec_completed_pending_empirical_evidence,Do official result metrics after release visibility explain price/path outcomes beyond the scheduled shell?,event_interpretation_context_after_release,beat_miss_alpha_or_guidance_surprise_claim,"Official company earnings release, SEC furnished exhibit, or company IR document with captured release time.;Persisted pre-event expectation baseline artifact with captured_at/as_of_time and no post-event actual/surprise fields.;Official transcript or call materials only after source timestamp is known and comparable current/prior guidance fields are review-accepted.;Derivative news may be coverage context only, not canonical event identity or surprise baseline.","Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.;Expectation/comparable baseline must have captured_at/as_of_time earlier than the release/event clock.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Persisted pre-event EPS and revenue consensus baselines are required before beat/miss labels.;Actual result fields captured after release may not be reused as expectation baselines.;Comparable fiscal period identity and source timestamp are mandatory.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.;Use same-symbol non-earnings dates plus sector/market controls; signed tests must wait for accepted result/guidance labels.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",missing_pit_expectation_baseline;partial_metric_interpretation_only;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,"Build or acquire PIT expectation/comparable baseline, then run family-specific association study.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,earnings_guidance_raise_cut_or_withdrawal,earnings_guidance,earnings_guidance,high,packet_spec_completed_pending_empirical_evidence,Do reviewed current guidance raise/cut/withdrawal events have stable signed or risk-only association?,review_queue_context_only,signed_guidance_alpha_or_escalated_event_risk_intervention,"Official company earnings release, SEC furnished exhibit, or company IR document with captured release time.;Persisted pre-event expectation baseline artifact with captured_at/as_of_time and no post-event actual/surprise fields.;Official transcript or call materials only after source timestamp is known and comparable current/prior guidance fields are review-accepted.;Derivative news may be coverage context only, not canonical event identity or surprise baseline.","Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.;Expectation/comparable baseline must have captured_at/as_of_time earlier than the release/event clock.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Prior company guidance baseline and current comparable company guidance are both required.;Guidance-consensus or revenue-consensus baseline is required before surprise/raise/cut claims.;Narrative-only spans are context until mapped to comparable numeric or categorical guidance dimensions.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.;Use same-symbol non-earnings dates plus sector/market controls; signed tests must wait for accepted result/guidance labels.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline;empirical_association_study_required;pit_expectation_or_comparable_baseline_required,"Build or acquire PIT expectation/comparable baseline, then run family-specific association study.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,earnings_call_narrative_residual,symbol_news,earnings_guidance,normal,packet_spec_completed_pending_empirical_evidence,"Do post-release narrative residuals such as margin mix, AI capex framing, or management tone explain absorption/reversal after canonical results?",narrative_residual_review_only,news_sentiment_alpha,Primary official source where available.;Timestamped reputable news/source feed as discovery with canonical-source reconciliation.;Derivative coverage only as supporting context after source precedence review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",News candidate must be decomposed into this mechanism family with source quality and materiality review.;Controls must match sector/market/target state and exclude overlapping canonical events.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",missing_transcript_or_company_ir_route;empirical_association_study_required,Draft a separate narrative-residual packet after official result/guidance interpretation is available.,final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,equity_offering_dilution,sec_filing,capital_structure,high,packet_spec_completed_pending_empirical_evidence,"Do equity offerings, shelf takedowns, convertibles, or ATM programs have stable dilution/absorption path effects?",candidate_family_for_next_packet,directional_alpha_or_forced_reduce,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,security_type;offering_size;dilution_proxy;discount;use_of_proceeds;balance_sheet_stress,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_offering_terms_parser;needs_matched_controls;empirical_association_study_required,"Create packet and extractor for offering amount, discount, proceeds use, balance-sheet stress, and filing timing.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,buyback_or_capital_return,sec_filing,capital_allocation,normal,packet_spec_completed_pending_empirical_evidence,Do buyback authorizations or capital-return disclosures have stable association after controlling for prior trend and valuation context?,candidate_family_only,capital_allocation_alpha,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_canonical_source_rules;empirical_association_study_required,Define buyback/capital-return packet and distinguish authorizations from actual repurchases.,final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,mna_transaction,sec_filing,corporate_action,high,packet_spec_completed_pending_empirical_evidence,"Do M&A announcements/filings create predictable gap, spread, deal-risk, or sector-readthrough patterns?",candidate_family_only,merger_arbitrage_alpha,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,deal_type;consideration_type;premium;deal_value;regulatory_risk;termination_or_resolution_status,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_deal_terms_and_resolution_clocks;empirical_association_study_required,"Create M&A packet with offer type, premium, consideration, regulatory risk, and resolution clock.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,insider_or_ownership_change,sec_filing,ownership_governance,normal,packet_spec_completed_pending_empirical_evidence,"Do insider trades, 13D/G, or ownership changes produce stable price/path effects after size/materiality filtering?",candidate_family_only,ownership_alpha,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity,event_subtype;materiality_tier;severity_tier;scope_tier;source_quality_tier,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Matched controls must use same symbol or comparable sector/market-state dates without same-family events.;Materiality threshold and source-quality tier must be defined before association measurement.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_form_specific_parser;empirical_association_study_required,"Split insider transaction, activist stake, passive ownership, and routine ownership forms before study.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,legal_regulatory_investigation,sec_filing,legal_regulatory,high,packet_spec_completed_pending_empirical_evidence,"Do investigations, subpoenas, enforcement actions, or adverse legal/regulatory disclosures predict tail risk or drawdown persistence?",candidate_family_for_risk_governor,automatic_flatten_or_halt,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,severity_tier;official_status;review_required;estimated_scope;resolution_stage,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Severity ladder and official-vs-allegation status must be assigned before outcome grouping.;Controls must exclude overlapping crisis/legal events and preserve human-review-required flags.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_severity_taxonomy;needs_review_required_rules;empirical_association_study_required,"Create risk-first packet with source precedence, severity ladder, and human-review triggers.",final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
event_family_scouting_packet_v1,accounting_restatement_or_fraud,sec_filing,legal_regulatory,high,packet_spec_completed_pending_empirical_evidence,"Do restatements, auditor warnings, fraud allegations, or accounting controls disclosures predict tail risk after source-quality filtering?",candidate_family_for_risk_governor,ordinary_directional_alpha_without_review,Official SEC filing or exhibit with accession/document timestamp.;Company IR or exchange/regulator primary source when SEC is not the canonical disclosure surface.;Tier-1 news only as discovery/coverage; official source remains canonical when available.;Derivative news/social summaries cannot establish event identity without source review.,"Preserve event_time_utc and event_time_et separately; do not infer market-session bucket from date alone.;Record source_published_at, source_captured_at, and accepted_as_of_time when available.;Assign premarket/regular/postmarket/closed-session bucket before label-window construction.",event_family;event_id;event_time_utc;event_time_et;source_ref;source_priority;symbol;issuer_or_target_entity;sector_id;affected_universe_ref,severity_tier;official_status;review_required;estimated_scope;resolution_stage,"Include only events matching the mechanism question and source-precedence rules.;Require deterministic event identity, event clock, source reference, and source-quality tier.;Allow family-specific subtypes only when they preserve one coherent mechanism.","Exclude broad routing buckets, generic news sentiment, duplicate coverage, and derivative summaries as primary events.;Exclude events without point-in-time clocks or without enough data for matched controls.;Exclude overlapping canonical events unless the study explicitly models interaction after independent family evidence exists.",Severity ladder and official-vs-allegation status must be assigned before outcome grouping.;Controls must exclude overlapping crisis/legal events and preserve human-review-required flags.,"Match by market regime, sector context, target state, pre-event volatility, trend, and liquidity where applicable.;Exclude windows with same-family events, major overlapping canonical events, and unavailable price labels.;Report event-vs-control deltas for return, absolute return, path range, MFE, and MAE across 1/5/10-day windows.",event_day;h1;h5;h10,forward_return;absolute_forward_return;path_range;maximum_favorable_excursion;maximum_adverse_excursion;gap_return_when_applicable,No special residual definition beyond matched controls unless empirical review finds base-state leakage.,Use ordinary volume/liquidity controls; no dedicated depth evidence required at packet stage.,"Stop before alpha/risk promotion if sample coverage is underpowered, direction flips across windows, or controls are missing.;Stop before directional claims if only path-range/absolute-return relationship is stable.;Stop before training if source precedence, PIT clock, or baseline requirements are unmet.",needs_official_vs_allegation_split;empirical_association_study_required,Split official restatement/control weakness from news-only allegation before association study.,final_judgment_withheld_until_empirical_association_complete,"Packet completion is governance/evidence design only: no provider calls, no training, no model activation, no broker/account mutation, no SQL destructive action, and no artifact deletion."
